neighborhood,aggravated-assault,all-other-crimes,arson,auto-theft,burglary,drug-alcohol,larceny,murder,other-crimes-against-persons,public-disorder,robbery,sexual-assault,theft-from-motor-vehicle,traffic-accident,white-collar-crime
athmar-park,180,1809,10,466,311,469,330,4,257,773,101,46,478,1319,79
auraria,32,1139,3,88,75,275,724,0,181,394,28,34,165,1281,35
baker,152,1778,11,418,418,557,1444,5,300,855,100,39,562,5844,91
barnum,139,1682,13,333,230,269,171,5,227,585,79,42,299,1430,49
barnum-west,69,590,5,275,170,251,117,2,121,282,31,16,254,738,25
bear-valley,78,313,9,387,184,152,218,1,195,501,28,29,436,535,45
belcaro,17,201,3,76,172,42,209,1,49,132,14,15,218,1061,40
berkeley,68,689,2,272,348,195,404,0,178,477,49,29,416,1290,57
capitol-hill,411,2206,8,633,484,2668,1732,6,897,1557,267,147,1010,3456,114
cbd,362,4112,6,273,258,1985,3488,5,931,1671,319,160,577,2458,237
chaffee-park,49,503,3,178,131,175,196,0,109,266,47,11,158,455,38
cheesman-park,118,977,7,287,260,1186,649,2,293,697,99,53,383,1528,46
cherry-creek,31,253,3,146,327,92,1520,0,108,309,45,18,315,1914,188
city-park,48,298,1,87,88,146,301,0,106,295,32,37,178,691,31
city-park-west,166,851,7,207,262,782,513,1,390,752,87,61,297,1246,57
civic-center,222,4076,9,123,128,1296,574,5,877,1156,84,102,230,1733,67
clayton,109,802,9,189,198,178,253,3,173,445,35,24,213,530,45
cole,158,1107,7,162,198,374,221,10,193,482,63,26,177,430,26
college-view-south-platte,175,986,8,374,268,294,1318,2,328,517,105,37,416,970,89
congress-park,65,398,2,251,284,116,466,0,169,426,44,37,438,2101,74
cory-merrill,18,184,1,83,151,108,445,0,65,192,31,6,240,753,65
country-club,4,116,2,58,145,15,73,0,9,114,6,5,139,385,26
dia,48,968,0,743,59,119,1102,4,179,428,25,42,432,1990,390
east-colfax,341,4055,25,441,488,2187,502,11,501,1343,250,102,472,1393,80
elyria-swansea,174,1198,18,513,360,232,430,7,261,618,61,39,374,2495,75
five-points,837,4021,17,887,854,3761,2512,17,1570,2534,409,268,1842,3852,190
fort-logan,51,189,4,199,175,32,148,2,140,349,10,19,345,373,27
gateway-green-valley-ranch,300,1242,13,655,606,164,660,9,637,1506,164,110,1046,2174,156
globeville,107,1468,10,319,210,351,295,3,189,502,55,57,324,2996,48
goldsmith,89,455,2,264,194,196,252,2,217,383,45,35,310,1277,65
hale,57,335,7,188,231,90,294,0,141,397,45,47,351,1066,48
hampden,186,713,7,640,571,150,626,2,452,965,105,56,918,1656,146
hampden-south,91,566,5,371,403,188,564,4,248,588,65,49,758,3815,147
harvey-park,160,882,10,377,257,220,337,3,289,764,80,51,509,1333,68
harvey-park-south,93,467,7,340,176,148,481,4,176,506,60,41,428,719,68
highland,105,1320,8,482,537,276,835,0,259,793,74,53,680,2743,74
hilltop,35,169,0,120,262,34,164,2,82,233,5,14,318,1201,55
indian-creek,5,38,2,49,61,4,45,0,22,75,2,2,85,97,15
jefferson-park,58,562,4,201,179,160,397,0,84,296,32,22,258,1796,43
kennedy,84,221,8,211,143,43,109,4,140,277,39,35,262,367,17
lincoln-park,276,2794,16,433,298,1035,997,3,814,1333,122,140,497,3404,110
lowry-field,87,400,2,131,309,64,363,3,236,432,26,28,375,1072,63
mar-lee,203,1422,14,512,306,324,398,5,317,698,97,56,443,1541,97
marston,40,446,2,225,140,74,570,0,180,384,18,17,433,792,67
montbello,544,4009,41,864,559,595,775,18,989,2066,264,138,1169,3135,207
montclair,50,592,5,128,270,149,573,1,124,275,69,16,260,1283,44
north-capitol-hill,210,1423,2,261,265,1216,939,5,509,911,148,104,501,1642,156
north-park-hill,83,685,9,177,311,88,230,4,132,373,36,19,288,852,51
northeast-park-hill,295,1572,10,514,322,260,466,14,398,766,81,63,571,2450,115
overland,96,740,6,195,272,241,296,1,167,393,33,24,311,1357,43
platt-park,20,268,4,164,358,121,263,1,83,247,33,19,384,902,52
regis,35,450,5,186,189,195,179,1,93,217,23,24,194,585,32
rosedale,12,167,1,98,155,68,116,0,84,154,18,15,151,492,20
ruby-hill,176,1389,14,497,328,272,237,5,275,639,75,46,444,1006,76
skyland,46,482,4,68,140,77,97,2,83,187,29,9,117,520,22
sloan-lake,68,514,6,282,383,102,361,4,144,476,36,20,426,746,45
south-park-hill,52,487,3,173,294,128,280,2,139,441,74,32,311,1131,48
southmoor-park,24,130,4,115,179,66,174,0,83,213,10,13,283,809,34
speer,72,953,3,411,509,243,836,4,229,646,72,44,644,2303,86
stapleton,206,2855,9,699,781,646,4300,6,522,1000,176,89,1092,6434,252
sun-valley,150,1204,3,150,89,307,286,2,296,483,65,32,139,745,42
sunnyside,153,1206,12,409,334,257,404,5,314,797,73,43,411,1300,68
union-station,443,1951,5,263,344,483,1781,6,845,1174,203,127,655,1860,118
university,48,340,4,194,273,77,417,2,121,427,43,38,408,1264,68
university-hills,66,411,2,175,262,212,561,2,114,421,43,22,368,1117,66
university-park,34,233,1,150,275,122,325,1,92,360,32,30,423,1012,72
valverde,128,734,11,317,199,205,208,1,156,372,58,18,280,529,40
villa-park,193,1710,15,550,382,410,283,0,315,632,114,49,359,1337,55
virginia-village,75,452,19,333,366,201,575,3,234,470,51,39,504,1595,104
washington-park,20,185,2,151,273,127,201,0,82,310,10,18,350,1040,54
washington-park-west,21,333,1,194,333,84,283,0,63,310,16,10,427,1809,38
washington-virginia-vale,148,699,8,353,491,238,668,4,356,795,82,65,520,2059,106
wellshire,6,30,0,33,68,16,46,1,12,68,2,3,108,157,15
west-colfax,297,2629,25,520,448,702,672,8,563,1265,136,89,535,1296,81
west-highland,52,525,4,286,388,114,455,0,138,434,49,22,506,1240,64
westwood,395,3711,16,751,459,606,377,13,592,1260,172,78,662,2276,84
whittier,138,687,6,157,183,119,214,4,187,396,39,28,168,420,25
windsor,86,238,5,313,257,51,228,2,261,459,30,40,453,830,93
