neighborhood,aggravated-assault,all-other-crimes,arson,auto-theft,burglary,drug-alcohol,larceny,murder,other-crimes-against-persons,public-disorder,robbery,sexual-assault,theft-from-motor-vehicle,traffic-accident,white-collar-crime
athmar-park,0.027141134,0.272768396,0.001507841,0.07026538,0.046893848,0.070717732,0.049758745,0.000603136,0.038751508,0.116556092,0.015229192,0.006936068,0.072074789,0.198884198,0.011911942
auraria,0.007184553,0.255725191,0.000673552,0.019757521,0.016838797,0.061742254,0.162550516,0,0.040637629,0.088459811,0.006286484,0.007633588,0.037045352,0.287606646,0.007858105
baker,0.012088436,0.141402895,0.000874821,0.0332432,0.0332432,0.044297757,0.114840146,0.000397646,0.023858756,0.067997455,0.007952919,0.003101638,0.044695403,0.46476857,0.007237156
barnum,0.025031514,0.302899334,0.002341077,0.059967585,0.041419053,0.048442283,0.030794165,0.000900414,0.040878804,0.10534846,0.014226544,0.007563479,0.053844769,0.257518458,0.008824059
barnum-west,0.023421589,0.200271555,0.001697217,0.093346911,0.057705363,0.085200272,0.039714868,0.000678887,0.041072641,0.095723014,0.010522743,0.005431093,0.086218601,0.250509165,0.008486083
bear-valley,0.025072324,0.100610736,0.00289296,0.1243973,0.059144969,0.048858888,0.070073931,0.00032144,0.06268081,0.161041466,0.009000321,0.009321761,0.140147862,0.171970428,0.014464802
belcaro,0.007555556,0.089333333,0.001333333,0.033777778,0.076444444,0.018666667,0.092888889,0.000444444,0.021777778,0.058666667,0.006222222,0.006666667,0.096888889,0.471555556,0.017777778
berkeley,0.015198927,0.154000894,0.000447027,0.060795709,0.077782745,0.043585159,0.090299508,0,0.039785427,0.106616004,0.010952168,0.006481895,0.092981672,0.288332588,0.012740277
capitol-hill,0.026352911,0.141446525,0.000512952,0.04058733,0.031033598,0.171069505,0.111054116,0.000384714,0.057514747,0.099833291,0.017119774,0.009425494,0.064760195,0.221595281,0.007309567
cbd,0.021493884,0.244151526,0.000356252,0.016209476,0.015318846,0.117860112,0.207101294,0.000296877,0.05527847,0.099216245,0.018940743,0.009500059,0.034259589,0.145944662,0.014071963
chaffee-park,0.021129797,0.216903838,0.001293661,0.076757223,0.056489866,0.075463562,0.084519189,0,0.047003019,0.114704614,0.020267357,0.004743424,0.068132816,0.196205261,0.016386373
cheesman-park,0.017919514,0.148367502,0.001063022,0.043583903,0.039483675,0.180106302,0.098557327,0.000303721,0.044495065,0.105846621,0.015034169,0.008048595,0.058162491,0.232042521,0.006985573
cherry-creek,0.005883469,0.048016701,0.000569368,0.027709243,0.062061112,0.017460619,0.288479787,0,0.020497248,0.058644904,0.00854052,0.003416208,0.05978364,0.363256785,0.035680395
city-park,0.02052159,0.127404874,0.000427533,0.037195383,0.037622916,0.062419838,0.128687473,0,0.045318512,0.126122274,0.01368106,0.015818726,0.076100898,0.295425395,0.013253527
city-park-west,0.029230498,0.149850326,0.001232611,0.036450079,0.046134883,0.137700299,0.090332805,0.000176087,0.068674062,0.132417679,0.015319599,0.010741328,0.05229794,0.219404825,0.010036978
civic-center,0.020782625,0.381576484,0.000842539,0.011514698,0.011982775,0.121325594,0.053735256,0.000468077,0.08210073,0.108219435,0.007863696,0.009548774,0.021531548,0.162235536,0.006272234
clayton,0.033998752,0.250155958,0.002807236,0.058951965,0.061759201,0.055520898,0.078914535,0.000935745,0.053961323,0.138802246,0.010917031,0.007485964,0.066437929,0.165315034,0.014036182
cole,0.043478261,0.304623005,0.001926252,0.044578976,0.054485416,0.102916896,0.060814529,0.002751789,0.053109521,0.132636214,0.017336269,0.007154651,0.048706659,0.118326912,0.007154651
