NEIGHBORHOOD_ID,GEO_LAT_MIN,GEO_LAT_MAX,GEO_LON_MIN,GEO_LON_MAX
athmar-park,39.6967007,39.7112009,-105.0250898,-104.9926186
auraria,39.7402244,39.7534772,-105.0161929,-104.9994878
baker,39.6966426,39.7258184,-105.0155463,-104.9874363
barnum,39.7112117,39.7256201,-105.0396863,-105.0250796
barnum-west,39.7115366,39.725708,-105.0532824,-105.039456
bear-valley,39.6497627,39.6701076,-105.0814735,-105.0531931
belcaro,39.6965692,39.7153189,-104.9593288,-104.9394683
berkeley,39.7693691,39.7849132,-105.0532447,-105.025186
capitol-hill,39.727328,39.7400619,-104.987404,-104.9729371
cbd,39.7401391,39.7518918,-105.0003677,-104.987378
chaffee-park,39.7833592,39.7940424,-105.0252317,-104.9989263
cheesman-park,39.7290803,39.7400274,-104.9729417,-104.9597779
cherry-creek,39.7115098,39.7256148,-104.9598361,-104.9406857
city-park,39.7401493,39.7511451,-104.9597576,-104.9406359
city-park-west,39.7400265,39.7507255,-104.9733577,-104.9597638
civic-center,39.7272745,39.7405637,-104.9980803,-104.9873914
clayton,39.7620623,39.7729138,-104.9597426,-104.9405707
cole,39.7619857,39.77291,-104.9733471,-104.9594017
college-view-south-platte,39.6568122,39.6823384,-105.0250677,-104.9979531
congress-park,39.7256083,39.7401938,-104.9601694,-104.9406629
cory-merrill,39.6830139,39.696586,-104.9593647,-104.9406297
country-club,39.7162695,39.7291074,-104.9728877,-104.9594008
dia,39.7992042,39.9043105,-104.7904435,-104.6096839
east-colfax,39.7329241,39.7510191,-104.9034229,-104.8846512
elyria-swansea,39.77061,39.7946052,-104.9777247,-104.9405199
five-points,39.7445234,39.7749706,-105.0013812,-104.9719193
fort-logan,39.6272779,39.6543063,-105.0768057,-105.0254033
gateway-green-valley-ranch,39.769214,39.7984641,-104.8098173,-104.7343778
globeville,39.7632785,39.7970237,-104.9981233,-104.968743
goldsmith,39.667579,39.678474,-104.933774,-104.9035935
hale,39.725727,39.7401507,-104.940689,-104.9223235
hampden,39.6530863,39.6747562,-104.9254754,-104.866054
hampden-south,39.6237833,39.6531126,-104.9183522,-104.880285
harvey-park,39.6678399,39.6822866,-105.0623995,-105.0250328
harvey-park-south,39.6532744,39.6677749,-105.0531687,-105.0251077
highland,39.7547727,39.7693146,-105.0252388,-104.9982068
hilltop,39.7074688,39.725641,-104.9406215,-104.9034081
indian-creek,39.679178,39.6926776,-104.9036345,-104.8904208
jefferson-park,39.7439241,39.7584727,-105.0251544,-105.0101039
kennedy,39.6525115,39.6608032,-104.8766782,-104.8489522
lincoln-park,39.7257129,39.7404627,-105.0174646,-104.9874324
lowry-field,39.7071238,39.7328728,-104.9126121,-104.8706685
mar-lee,39.6823861,39.6971773,-105.0532672,-105.0250441
marston,39.6144061,39.7338821,-105.3217972,-105.058278
montbello,39.7727382,39.7983722,-104.865946,-104.8096891
montclair,39.7257623,39.7401588,-104.9227586,-104.9034554
north-capitol-hill,39.7400224,39.7475952,-104.9873248,-104.973385
north-park-hill,39.751045,39.7620165,-104.9406083,-104.9033958
northeast-park-hill,39.7620008,39.7910459,-104.940562,-104.9034317
overland,39.6676735,39.6966618,-105.0000753,-104.9874314
platt-park,39.6785545,39.6966263,-104.987484,-104.9734168
regis,39.7836748,39.791141,-105.0635223,-105.0251852
rosedale,39.6676836,39.6785672,-104.9874946,-104.973434
ruby-hill,39.6823553,39.6967623,-105.0249771,-104.9929467
skyland,39.7511679,39.7619909,-104.9597586,-104.9405844
sloan-lake,39.7440385,39.7585077,-105.0533264,-105.0252228
south-park-hill,39.7401998,39.7510846,-104.9406447,-104.9034305
southmoor-park,39.6238954,39.6530932,-104.9316952,-104.9028546
speer,39.7111054,39.7272826,-104.9875494,-104.9729124
stapleton,39.7474539,39.8088052,-104.9034977,-104.8296116
sun-valley,39.7253201,39.7475972,-105.0251519,-105.0165332
sunnyside,39.7693455,39.7840725,-105.0251906,-104.9981965
union-station,39.7459093,39.7600561,-105.00766,-104.9916944
university,39.66038,39.6891652,-104.9733813,-104.9593802
university-hills,39.6530322,39.6822984,-104.9406867,-104.9185215
university-park,39.6672762,39.6847229,-104.9593501,-104.9406797
valverde,39.7111729,39.7254279,-105.0250767,-105.000996
villa-park,39.7255934,39.7356853,-105.0553006,-105.0251363
virginia-village,39.6784709,39.7002136,-104.9406092,-104.9035092
washington-park,39.6848634,39.7173692,-104.9733789,-104.9592628
washington-park-west,39.6900001,39.7111578,-104.9874926,-104.9733759
washington-virginia-vale,39.6873768,39.7112801,-104.9340741,-104.9008937
wellshire,39.6530071,39.6675884,-104.9594623,-104.9405684
west-colfax,39.7343739,39.7463964,-105.0532261,-105.0252101
west-highland,39.7584959,39.7695472,-105.0532462,-105.0252248
westwood,39.6967452,39.7113417,-105.0532667,-105.0250802
whittier,39.7507819,39.762047,-104.9733402,-104.9597542
windsor,39.6960193,39.7112079,-104.9034393,-104.8659638
